,weaks,revenue
0,2013-01-06,140307692
1,2013-01-13,157538462
2,2013-01-20,174769231
3,2013-01-27,192000000
4,2013-02-03,209230769
5,2013-02-10,226461539
6,2013-02-17,243692308
7,2013-02-24,260923077
8,2013-03-03,305230769
9,2013-03-10,361846154
10,2013-03-17,418461539
11,2013-03-24,475076923
12,2013-03-31,531692308
13,2013-04-07,588307692
14,2013-04-14,644923077
15,2013-04-21,701538462
16,2013-04-28,758153846
17,2013-05-05,814769231
18,2013-05-12,871384616
19,2013-05-19,928000000
20,2013-05-26,984615385
21,2013-06-02,1083076923
22,2013-06-09,1132307693
23,2013-06-16,1181538462
24,2013-06-23,1230769231
25,2013-06-30,1280000000
26,2013-07-07,1329230769
27,2013-07-14,1378461539
28,2013-07-21,1427692308
29,2013-07-28,1476923077
30,2013-08-04,1526153846
31,2013-08-11,1575384616
32,2013-08-18,1624615385
33,2013-08-25,1673846154
34,2013-09-01,1675076923
35,2013-09-08,1713230770
36,2013-09-15,1751384616
37,2013-09-22,1789538462
38,2013-09-29,1827692308
39,2013-10-06,1865846154
40,2013-10-13,1904000000
41,2013-10-20,1942153847
42,2013-10-27,1980307693
43,2013-11-03,2018461539
44,2013-11-10,2056615385
45,2013-11-17,2094769231
46,2013-11-24,2132923077
47,2013-12-01,2168615385
48,2013-12-08,2216615385
49,2013-12-15,2264615385
50,2013-12-22,2312615385
51,2013-12-29,2360615385
52,2014-01-05,1080173077
53,2014-01-12,1096884615
54,2014-01-19,1113596154
55,2014-01-26,1130307692
56,2014-02-02,1147019231
57,2014-02-09,1163730769
58,2014-02-16,1180442308
59,2014-02-23,1197153846
60,2014-03-02,285615385
61,2014-03-09,331192308
62,2014-03-16,376769231
63,2014-03-23,422346154
64,2014-03-30,467923077
65,2014-04-06,513500000
66,2014-04-13,559076923
67,2014-04-20,604653846
68,2014-04-27,650230769
69,2014-05-04,695807692
70,2014-05-11,741384615
71,2014-05-18,786961538
72,2014-05-25,832538461
73,2014-06-01,908500000
74,2014-06-08,938884615
75,2014-06-15,969269231
76,2014-06-22,999653846
77,2014-06-29,1030038461
78,2014-07-06,1060423077
79,2014-07-13,1090807692
80,2014-07-20,1121192308
81,2014-07-27,1151576923
82,2014-08-03,1181961538
83,2014-08-10,1212346154
84,2014-08-17,1242730769
85,2014-08-24,1273115384
86,2014-08-31,1303500000
87,2014-09-07,2541673077
88,2014-09-14,2579653846
89,2014-09-21,2617634615
90,2014-09-28,2655615384
91,2014-10-05,2693596153
92,2014-10-12,2731576923
93,2014-10-19,2769557692
94,2014-10-26,2807538461
95,2014-11-02,2845519230
96,2014-11-09,2883500000
97,2014-11-16,2921480769
98,2014-11-23,2959461538
99,2014-11-30,2997442307
100,2014-12-07,2921480769
101,2014-12-14,2982250000
102,2014-12-21,3043019230
103,2014-12-28,3103788461
104,2015-01-04,662153846
105,2015-01-11,708923077
106,2015-01-18,755692308
107,2015-01-25,802461539
108,2015-02-01,849230769
109,2015-02-08,896000000
110,2015-02-15,942769231
111,2015-02-22,989538462
112,2015-03-01,989538462
113,2015-03-08,1088000000
114,2015-03-15,1186461539
115,2015-03-22,1284923077
116,2015-03-29,1383384616
117,2015-04-05,1481846154
118,2015-04-12,1580307693
119,2015-04-19,1678769231
120,2015-04-26,1777230770
121,2015-05-03,1875692308
122,2015-05-10,1974153847
123,2015-05-17,2072615385
124,2015-05-24,2171076923
125,2015-05-31,2269538462
126,2015-06-07,2368000000
127,2015-06-14,2417230770
128,2015-06-21,2466461539
129,2015-06-28,2515692308
130,2015-07-05,2564923077
131,2015-07-12,2614153847
132,2015-07-19,2663384616
133,2015-07-26,2712615385
134,2015-08-02,2761846154
135,2015-08-09,2811076924
136,2015-08-16,2860307693
137,2015-08-23,2909538462
138,2015-08-30,2958769231
139,2015-09-06,3003076924
140,2015-09-13,3096615385
141,2015-09-20,3190153847
142,2015-09-27,3283692308
143,2015-10-04,3377230770
144,2015-10-11,3470769231
145,2015-10-18,3564307693
146,2015-10-25,3657846155
147,2015-11-01,3751384616
148,2015-11-08,3844923078
149,2015-11-15,3938461539
150,2015-11-22,4032000001
151,2015-11-29,4125538462
152,2015-12-06,4273230770
153,2015-12-13,4347076924
154,2015-12-20,4420923078
155,2015-12-27,4494769232
156,2016-01-03,1054957692
157,2016-01-10,1119530769
158,2016-01-17,1184103846
159,2016-01-24,1248676923
160,2016-01-31,1313250000
161,2016-02-07,1377823077
162,2016-02-14,1442396154
163,2016-02-21,1506969231
164,2016-02-28,1571542308
165,2016-03-06,1571542308
166,2016-03-13,1730003846
167,2016-03-20,1888465385
168,2016-03-27,2046926923
169,2016-04-03,2205388462
170,2016-04-10,2363850000
171,2016-04-17,2522311539
172,2016-04-24,2680773077
173,2016-05-01,2839234616
174,2016-05-08,2997696154
175,2016-05-15,3156157693
176,2016-05-22,3314619231
177,2016-05-29,3473080770
178,2016-06-05,3671157693
179,2016-06-12,3790003847
180,2016-06-19,3908850000
181,2016-06-26,4027696154
182,2016-07-03,4146542308
183,2016-07-10,4265388462
184,2016-07-17,4384234616
185,2016-07-24,4503080770
186,2016-07-31,4621926924
187,2016-08-07,4740773077
188,2016-08-14,4859619231
189,2016-08-21,4978465385
190,2016-08-28,5097311539
191,2016-09-04,5136926924
192,2016-09-11,5255773078
193,2016-09-18,5374619231
194,2016-09-25,5493465385
195,2016-10-02,5612311539
196,2016-10-09,5731157693
197,2016-10-16,5850003847
198,2016-10-23,5968850001
199,2016-10-30,6087696155
200,2016-11-06,6206542308
201,2016-11-13,6325388462
202,2016-11-20,6444234616
203,2016-11-27,6563080770
204,2016-12-04,6836426924
205,2016-12-11,6990926924
206,2016-12-18,7145426924
207,2016-12-25,7299926924
208,2017-01-01,1488576923
209,2017-01-08,1544846154
210,2017-01-15,1601115384
211,2017-01-22,1657384615
212,2017-01-29,1713653846
213,2017-02-05,1769923077
214,2017-02-12,1826192308
215,2017-02-19,1882461538
216,2017-02-26,1938730769
217,2017-03-05,1662500000
218,2017-03-12,1795500000
219,2017-03-19,1928500000
220,2017-03-26,2061500000
221,2017-04-02,2194500000
222,2017-04-09,2327500000
223,2017-04-16,2460500000
224,2017-04-23,2593500000
225,2017-04-30,2726500000
226,2017-05-07,2859500000
227,2017-05-14,2992500000
228,2017-05-21,3125500000
229,2017-05-28,3258500000
230,2017-06-04,3908153846
231,2017-06-11,4148576923
232,2017-06-18,4389000000
233,2017-06-25,4629423077
234,2017-07-02,4869846153
235,2017-07-09,5110269230
236,2017-07-16,5350692307
237,2017-07-23,5591115384
238,2017-07-30,5831538461
239,2017-08-06,6071961538
240,2017-08-13,6312384615
241,2017-08-20,6552807692
242,2017-08-27,6793230769
243,2017-09-03,6962038461
244,2017-09-10,7130846153
245,2017-09-17,7299653846
246,2017-09-24,7468461538
247,2017-10-01,7637269230
248,2017-10-08,7806076922
249,2017-10-15,7974884615
250,2017-10-22,8143692307
251,2017-10-29,8312499999
252,2017-11-05,8481307692
253,2017-11-12,8650115384
254,2017-11-19,8818923076
255,2017-11-26,8987730769
256,2017-12-03,9033769230
257,2017-12-10,9182115384
258,2017-12-17,9330461538
259,2017-12-24,9478807692
260,2017-12-31,8251846155
261,2018-01-07,263076923
262,2018-01-14,311307692
263,2018-01-21,359538462
264,2018-01-28,407769231
265,2018-02-04,456000000
266,2018-02-11,504230769
267,2018-02-18,552461539
268,2018-02-25,600692308
269,2018-03-04,729161539
270,2018-03-11,883938462
271,2018-03-18,1038715385
272,2018-03-25,1193492308
273,2018-04-01,1348269231
274,2018-04-08,1503046154
275,2018-04-15,1657823077
276,2018-04-22,1812600000
277,2018-04-29,1967376923
278,2018-05-06,2122153846
279,2018-05-13,2276930769
280,2018-05-20,2431707693
281,2018-05-27,2586484616
282,2018-06-03,2656638462
283,2018-06-10,2722407693
284,2018-06-17,2788176923
285,2018-06-24,2853946154
286,2018-07-01,2919715385
287,2018-07-08,2985484616
288,2018-07-15,3051253846
289,2018-07-22,3117023077
290,2018-07-29,3182792308
291,2018-08-05,3248561539
292,2018-08-12,3314330770
293,2018-08-19,3380100000
294,2018-08-26,3445869231
295,2018-09-02,4094792308
296,2018-09-09,4752484616
297,2018-09-16,5410176924
298,2018-09-23,6067869231
299,2018-09-30,6725561539
300,2018-10-07,7383253847
301,2018-10-14,8040946155
302,2018-10-21,8698638462
303,2018-10-28,9356330770
304,2018-11-04,10014023078
305,2018-11-11,10671715386
306,2018-11-18,11329407693
307,2018-11-25,11987100001
308,2018-12-02,12030946155
309,2018-12-09,12074792309
310,2018-12-16,12118638463
311,2018-12-23,12162484616
312,2018-12-30,10332551924
313,2019-01-06,334038462
314,2019-01-13,449096154
315,2019-01-20,564153846
316,2019-01-27,679211539
317,2019-02-03,794269231
318,2019-02-10,909326923
319,2019-02-17,1024384616
320,2019-02-24,1139442308
321,2019-03-03,1169134616
322,2019-03-10,1280480769
323,2019-03-17,1391826923
324,2019-03-24,1503173077
325,2019-03-31,1614519231
326,2019-04-07,1725865385
327,2019-04-14,1837211539
328,2019-04-21,1948557693
329,2019-04-28,2059903846
330,2019-05-05,2171250000
331,2019-05-12,2282596154
332,2019-05-19,2393942308
333,2019-05-26,2505288462
334,2019-06-02,2679730770
335,2019-06-09,2828192308
336,2019-06-16,2976653847
337,2019-06-23,3125115385
338,2019-06-30,3273576923
339,2019-07-07,3422038462
340,2019-07-14,3570500000
341,2019-07-21,3718961539
342,2019-07-28,3867423077
343,2019-08-04,4015884616
344,2019-08-11,4164346154
345,2019-08-18,4312807693
346,2019-08-25,4461269231
347,2019-09-01,4628288462
348,2019-09-08,4776750001
349,2019-09-15,4925211539
350,2019-09-22,5073673078
351,2019-09-29,5222134616
352,2019-10-06,5370596155
353,2019-10-13,5519057693
354,2019-10-20,5667519231
355,2019-10-27,5815980770
356,2019-11-03,5964442308
357,2019-11-10,6112903847
358,2019-11-17,6261365385
359,2019-11-24,6409826924
360,2019-12-01,7189250001
361,2019-12-08,7931557693
362,2019-12-15,8673865386
363,2019-12-22,9416173078
364,2019-12-29,11842788462
365,2020-01-05,302884615
366,2020-01-12,475961538
367,2020-01-19,649038462
368,2020-01-26,822115385
369,2020-02-02,995192308
370,2020-02-09,1168269231
371,2020-02-16,1341346154
372,2020-02-23,1514423077
373,2020-03-01,1639903846
374,2020-03-08,1765384615
375,2020-03-15,1890865385
376,2020-03-22,2016346154
377,2020-03-29,2141826923
378,2020-04-05,2267307692
379,2020-04-12,2392788462
380,2020-04-19,2518269231
381,2020-04-26,2643750000
382,2020-05-03,2769230769
383,2020-05-10,2894711539
384,2020-05-17,3020192308
385,2020-05-24,3145673077
386,2020-05-31,3271153846
387,2020-06-07,3392307692
388,2020-06-14,3574038462
389,2020-06-21,3755769231
390,2020-06-28,3937500000
391,2020-07-05,4119230769
392,2020-07-12,4300961539
393,2020-07-19,4482692308
394,2020-07-26,4664423077
395,2020-08-02,4846153846
396,2020-08-09,5027884615
397,2020-08-16,5209615385
398,2020-08-23,5391346154
399,2020-08-30,5573076923
400,2020-09-06,5850000000
401,2020-09-13,6023076923
402,2020-09-20,6196153846
403,2020-09-27,6369230769
404,2020-10-04,6542307692
405,2020-10-11,6715384616
406,2020-10-18,6888461539
407,2020-10-25,7061538462
408,2020-11-01,7234615385
409,2020-11-08,7407692308
410,2020-11-15,7580769231
411,2020-11-22,7753846154
412,2020-11-29,7926923077
413,2020-12-06,8316346154
414,2020-12-13,8662500000
415,2020-12-20,9008653846
416,2020-12-27,9521115385
417,2021-01-03,352307692
418,2021-01-10,484423077
419,2021-01-17,616538462
420,2021-01-24,748653846
421,2021-01-31,880769231
422,2021-02-07,1012884615
423,2021-02-14,1145000000
424,2021-02-21,1277115385
425,2021-02-28,1409230769
426,2021-03-07,1598596154
427,2021-03-14,1774750000
428,2021-03-21,1950903846
429,2021-03-28,2127057692
430,2021-04-04,2303211539
431,2021-04-11,2479365385
432,2021-04-18,2655519231
433,2021-04-25,2831673077
434,2021-05-02,3007826923
435,2021-05-09,3183980769
436,2021-05-16,3360134616
