weaks,Расходы
2013-01-06,64615385
2013-01-13,70000000
2013-01-20,75384615
2013-01-27,80769231
2013-02-03,86153846
2013-02-10,91538461
2013-02-17,96923077
2013-02-24,102307692
2013-03-03,479230769
2013-03-10,484615384
2013-03-17,490000000
2013-03-24,495384615
2013-03-31,500769230
2013-04-07,506153846
2013-04-14,511538461
2013-04-21,516923076
2013-04-28,522307692
2013-05-05,527692307
2013-05-12,533076923
2013-05-19,538461538
2013-05-26,543846153
2013-06-02,608461538
2013-06-09,619230769
2013-06-16,629999999
2013-06-23,640769230
2013-06-30,651538461
2013-07-07,662307692
2013-07-14,673076923
2013-07-21,683846153
2013-07-28,694615384
2013-08-04,705384615
2013-08-11,716153846
2013-08-18,726923076
2013-08-25,737692307
2013-09-01,662307692
2013-09-08,667692307
2013-09-15,673076923
2013-09-22,678461538
2013-09-29,683846153
2013-10-06,689230769
2013-10-13,694615384
2013-10-20,699999999
2013-10-27,705384615
2013-11-03,710769230
2013-11-10,716153846
2013-11-17,721538461
2013-11-24,726923076
2013-12-01,570769230
2013-12-08,576153846
2013-12-15,581538461
2013-12-22,586923076
2013-12-29,592307692
2014-01-05,320000000
2014-01-12,332307692
2014-01-19,344615384
2014-01-26,356923077
2014-02-02,369230769
2014-02-09,381538461
2014-02-16,393846154
2014-02-23,406153846
2014-03-02,658461538
2014-03-09,664615384
2014-03-16,670769230
2014-03-23,676923076
2014-03-30,683076923
2014-04-06,689230769
2014-04-13,695384615
2014-04-20,701538461
2014-04-27,707692307
2014-05-04,713846153
2014-05-11,720000000
2014-05-18,726153846
2014-05-25,732307692
2014-06-01,615384615
2014-06-08,621538461
2014-06-15,627692307
2014-06-22,633846153
2014-06-29,640000000
2014-07-06,646153846
2014-07-13,652307692
2014-07-20,658461538
2014-07-27,664615384
2014-08-03,670769230
2014-08-10,676923076
2014-08-17,683076923
2014-08-24,689230769
2014-08-31,695384615
2014-09-07,609230769
2014-09-14,615384615
2014-09-21,621538461
2014-09-28,627692307
2014-10-05,633846153
2014-10-12,640000000
2014-10-19,646153846
2014-10-26,652307692
2014-11-02,658461538
2014-11-09,664615384
2014-11-16,670769230
2014-11-23,676923077
2014-11-30,683076923
2014-12-07,603076923
2014-12-14,615384615
2014-12-21,627692307
2014-12-28,640000000
2015-01-04,12307692
2015-01-11,13076923
2015-01-18,13846154
2015-01-25,14615385
2015-02-01,15384615
2015-02-08,16153846
2015-02-15,16923077
2015-02-22,17692308
2015-03-01,27692308
2015-03-08,31538462
2015-03-15,35384615
2015-03-22,39230769
2015-03-29,43076923
2015-04-05,46923077
2015-04-12,50769231
2015-04-19,54615385
2015-04-26,58461539
2015-05-03,62307692
2015-05-10,66153846
2015-05-17,70000000
2015-05-24,73846154
2015-05-31,77692308
2015-06-07,88461539
2015-06-14,90000000
2015-06-21,91538462
2015-06-28,93076923
2015-07-05,94615385
2015-07-12,96153846
2015-07-19,97692308
2015-07-26,99230769
2015-08-02,100769231
2015-08-09,102307692
2015-08-16,103846154
2015-08-23,105384615
2015-08-30,106923077
2015-09-06,103076923
2015-09-13,103846154
2015-09-20,104615385
2015-09-27,105384615
2015-10-04,106153846
2015-10-11,106923077
2015-10-18,107692308
2015-10-25,108461539
2015-11-01,109230769
2015-11-08,110000000
2015-11-15,110769231
2015-11-22,111538462
2015-11-29,112307692
2015-12-06,112307692
2015-12-13,116153846
2015-12-20,120000000
2015-12-27,123846154
2016-01-03,435192308
2016-01-10,449230769
2016-01-17,463269231
2016-01-24,477307692
2016-01-31,491346154
2016-02-07,505384615
2016-02-14,519423077
2016-02-21,533461539
2016-02-28,547500000
2016-03-06,687884615
2016-03-13,730000000
2016-03-20,772115385
2016-03-27,814230769
2016-04-03,856346154
2016-04-10,898461539
2016-04-17,940576923
2016-04-24,982692308
2016-05-01,1024807692
2016-05-08,1066923077
2016-05-15,1109038462
2016-05-22,1151153846
2016-05-29,1193269231
2016-06-05,1403846154
2016-06-12,1417884616
2016-06-19,1431923077
2016-06-26,1445961539
2016-07-03,1460000000
2016-07-10,1474038462
2016-07-17,1488076923
2016-07-24,1502115385
2016-07-31,1516153846
2016-08-07,1530192308
2016-08-14,1544230769
2016-08-21,1558269231
2016-08-28,1572307692
2016-09-04,1417884616
2016-09-11,1516153846
2016-09-18,1614423077
2016-09-25,1712692308
2016-10-02,1810961539
2016-10-09,1909230769
2016-10-16,2007500000
2016-10-23,2105769231
2016-10-30,2204038462
2016-11-06,2302307693
2016-11-13,2400576923
2016-11-20,2498846154
2016-11-27,2597115385
2016-12-04,2597115385
2016-12-11,2667307693
2016-12-18,2737500000
2016-12-25,2807692308
2017-01-01,1000384616
2017-01-08,1020000000
2017-01-15,1039615385
2017-01-22,1059230769
2017-01-29,1078846154
2017-02-05,1098461539
2017-02-12,1118076923
2017-02-19,1137692308
2017-02-26,1157307693
2017-03-05,1412307693
2017-03-12,1431923077
2017-03-19,1451538462
2017-03-26,1471153846
2017-04-02,1490769231
2017-04-09,1510384616
2017-04-16,1530000000
2017-04-23,1549615385
2017-04-30,1569230770
2017-05-07,1588846154
2017-05-14,1608461539
2017-05-21,1628076923
2017-05-28,1647692308
2017-06-04,2196923077
2017-06-11,2216538462
2017-06-18,2236153847
2017-06-25,2255769231
2017-07-02,2275384616
2017-07-09,2295000001
2017-07-16,2314615385
2017-07-23,2334230770
2017-07-30,2353846154
2017-08-06,2373461539
2017-08-13,2393076924
2017-08-20,2412692308
2017-08-27,2432307693
2017-09-03,2275384616
2017-09-10,2295000001
2017-09-17,2314615385
2017-09-24,2334230770
2017-10-01,2353846154
2017-10-08,2373461539
2017-10-15,2393076924
2017-10-22,2412692308
2017-10-29,2432307693
2017-11-05,2451923078
2017-11-12,2471538462
2017-11-19,2491153847
2017-11-26,2510769231
2017-12-03,2334230770
2017-12-10,2353846154
2017-12-17,2373461539
2017-12-24,2393076924
2017-12-31,1774038461
2018-01-07,447115385
2018-01-14,461538461
2018-01-21,475961538
2018-01-28,490384615
2018-02-04,504807692
2018-02-11,519230769
2018-02-18,533653846
2018-02-25,548076923
2018-03-04,778846154
2018-03-11,793269231
2018-03-18,807692308
2018-03-25,822115384
2018-04-01,836538461
2018-04-08,850961538
2018-04-15,865384615
2018-04-22,879807692
2018-04-29,894230769
2018-05-06,908653846
2018-05-13,923076923
2018-05-20,937500000
2018-05-27,951923077
2018-06-03,1312500000
2018-06-10,1370192307
2018-06-17,1427884615
2018-06-24,1485576923
2018-07-01,1543269230
2018-07-08,1600961538
2018-07-15,1658653846
2018-07-22,1716346153
2018-07-29,1774038461
2018-08-05,1831730769
2018-08-12,1889423077
2018-08-19,1947115384
2018-08-26,2004807692
2018-09-02,1990384615
2018-09-09,2019230769
2018-09-16,2048076923
2018-09-23,2076923076
2018-09-30,2105769230
2018-10-07,2134615384
2018-10-14,2163461538
2018-10-21,2192307692
2018-10-28,2221153846
2018-11-04,2250000000
2018-11-11,2278846153
2018-11-18,2307692307
2018-11-25,2336538461
2018-12-02,2019230769
2018-12-09,2033653846
2018-12-16,2048076923
2018-12-23,2062500000
2018-12-30,1966153846
2019-01-06,696346154
2019-01-13,710000000
2019-01-20,723653846
2019-01-27,737307692
2019-02-03,750961538
2019-02-10,764615384
2019-02-17,778269231
2019-02-24,791923077
2019-03-03,1269807692
2019-03-10,1283461538
2019-03-17,1297115384
2019-03-24,1310769230
2019-03-31,1324423077
2019-04-07,1338076923
2019-04-14,1351730769
2019-04-21,1365384615
2019-04-28,1379038461
2019-05-05,1392692307
2019-05-12,1406346153
2019-05-19,1420000000
2019-05-26,1433653846
2019-06-02,1529230769
2019-06-09,1542884615
2019-06-16,1556538461
2019-06-23,1570192307
2019-06-30,1583846153
2019-07-07,1597500000
2019-07-14,1611153846
2019-07-21,1624807692
2019-07-28,1638461538
2019-08-04,1652115384
2019-08-11,1665769230
2019-08-18,1679423076
2019-08-25,1693076923
2019-09-01,1515576923
2019-09-08,1529230769
2019-09-15,1542884615
2019-09-22,1556538461
2019-09-29,1570192307
2019-10-06,1583846153
2019-10-13,1597500000
2019-10-20,1611153846
2019-10-27,1624807692
2019-11-03,1638461538
2019-11-10,1652115384
2019-11-17,1665769230
